Question,Correct Answer Choice,Incorrect Answer Choice,Incorrect Answer Choice,Incorrect Answer Choice
While playing a fun game on the Internet you get a pop-up message. The message reads “Click here now to win a brand new iPhone!!!” What would you do?,Close the screen,Click on the link,Open the link in a new tab,Celebrate!
What is a hacker?,All of the above,A bad guy,A good guy,Neutral
Should I text you my password?,NO,Yes,Depends,Who cares?
Should everyone know my password?,NO,Yes,Depends,Who cares?
Should you acccept friend/follower requests on social media from strangers?,No,Yes,If they seem cool,If they follow someone I know
Which of the following is a safe way to use social media?,Set your profile to private,Share your personal information with strangers,Post inappropriate content,Use the same password for all your social media accounts
Which of the following is a safe way to share personal information online?,Only share your personal information with trusted individuals,Post your phone number on social media,Share your password with your friends,Post your home address on your blog
If you are 12 years old and want to use a website/app with a minimum age of 13 you should:,Not use the site until you are 13,Lie about your birthday 12 is close enough,Use your friends account who is 13,
What should you do if you receive an email from an unknown sender asking for personal information?,Ignore the email,Reply and provide the information,Provide the information in the email,Forward the email to your friends
Why is it important to have a strong password?,So that your accounts and information are protected,So that you can remember it easily,So that other people can easily guess it,
What is cyber Security,Keeping our devices safe,Protecting our pets from danger,learning about the ocean,
What is online privacy,Keeping our personal information safe and private when we use the Internet,Sharing our personal information with everyone we meet,Posting our personal information online for everyone to see,
What is a computer virus,A type of Software that harms our device,A type of animal that lives in the ocean,A type of food that we eat for breakfast,
What is cyberbullying?,When someone uses the internet to say mean or hurtful things to another person,When someone gives us a compliment online,When we share our favorite hobby online,
What is phishing?,A type of social engineering attack that attempts to trick individuals into providing sensitive information,A type of fish that lives in the ocean,A type of game you can play online with your friends,
What is a password?,A secret word that you use to protect your computer or device,A type of food that you eat for breakfast,A type of toy that you play with outside,
What should you do if you receive an email or message from someone you don't know?,Ignore the message and delete it,Reply to the message and tell them your name and where you live,Reply to the message and ask them to be your friend,
To prevent others from getting into your devices you should:,Set a password,Hide them from everyone,Booby trap your devices,
What needs security?,Everything,My Phone,My Computer,
Whats a good password?,f(65^JNgmc!%F)Y,'password'',my birthday,my name
Who can you share your passwords with?,Nobody,Your family,Your friends,Your teacher
If you post something on the internet who may be able to see it?,Anyone,Yourself,Only family,Only friends
A classmate tells you that somebody has been calling him mean names on an online game. What should you do?,Tell an adult,Call the classmate mean names back,Ignore it,
Who should you accept friend or chat requests from online?,Only people you know,Someone who you don't know,Anyone,
Your friend tells you that she is talking to a boy online and she is going to meet him at the weekend. What should you do?,Tell an adult,Tell your friends,Go with her,Let her go alone
You’ve gone on a gaming website and it asks you to download a link before you play. What should you do?,Ask an adult if the link is safe,Download it,Ask your friends,
What should you do if a stranger asks you to send a picture of yourself to them?,Do not send it and tell an adult,Ignore it,Send the photo to the stranger,
Do You Think You Have Something Valuable To Steal?,yes,no,,
Who is responsible for Cyber Security?,Everyone,Your parents,The government,Google
If you are in a gaming room and someone that you do not know asks you about personal information (same age as you-or close) what do you do?,Don't ever give out any personal information.,Tell them just a little bit about yourself.,Tell them everything they want to know.,
What do you do if someone keeps bothering you on-line?,All of the above,Tell your parents,Tell them to leave you alone,Tell your friends
You get a new email that says you won a money and to click a link to claim it would you open it?,No,Yes,Maybe?,
If your friend asks you for your login ID and password to use your online account for some time what would you do?,Do not share it,Share it,Only share it once,
You get a call from someone pretending to be from a popular bank. They ask you to provide your parents’ debit card number and other bank details. What would you do?,Hang up!,Give them all the information they want,Have your parents tell them,
If someone says something to you on online that makes you uncomfortable what should you do?,Tell a trusted adult,Keep messaging that person,Say something mean back to them,
You go over your friends house and they go onto a website that your parent don't let you use. What should you do?,Tell your friend you aren't allowed to go on that site and make then not use it while you're there ,Since your friend is on the website and not you it's ok to look at it,Run away from your friends house,
Is everything said on the internet true?,No,Yes,No one lies on the internet!,
Is everything seen online real?,No,Probably,No but it's really obvious when something is photoshopped,
What should you do if you receive an email from someone you don't know with an attachment?,Delete the email,Open the attachment,Reply to the email,Forward the email to your friends
"Which of the following is NOT a safe website to visit?",FreeStuffOnline.net,Youtube.com,Facebook.com,Google.com
Is it okay to say mean stuff on the internet?,No,Yes because it's not said to someones face,Yes because they don't know it's you who said it,Yes because they are mean
If your parents set a time limit on how long you can go online you should:,Only go online for that specific time limit,Go online way longer than they allow if you won't get caught,The internet is too cool for a time limit!,
You have a social media account and want to post a picture for your friends birthday. What should you do?,Ask your friend if it's ok to post a picture of them,Post an embarrasing picture of your friend,Post a picture of your friend but don't tell them,
What type of information should you NOT post online?,Your address,Your favorite color,Your artwork,Your shoes
You find a really tool toy online that you want to buy. You parents credit card information is already saved in the computer. What should you do?,Ask your parents if you can buy the toy and then have them buy it,Buy the toy!,Ask your parents if you can buy the toy and then buy it even if they say no,
"If you see someone you know post something mean online, what should you do?",Tell a trusted adult,Like their post,Post something mean about them,
Is everyone online trustworthy?,No!,"Yes, of course!","You can't lie on the internet, so yes",
When should you ask your parents permission before doing something online?,All of the above,When the site wants you to enter personal information,When the site requires you to ask your parents permission,When the site wants you to enter/use credit card information
Should your username and password be kept secret?,Only your password needs to be kept secret,"Yes, both your username and password should be secret",Just your username needs to be kept secret,Neither should be kept secret
"If you're a 10 year old and a stranger messages you saying they are also 10 years old, can you trust them?","No! They could be, but since they're a stranger you have no way of knowing that what they say is true","Yes, you're 10 years old too so they must be telling the truth","Yes, why would they lie?",
